169.233.223.112, 2016-10-28 20:06:31, GET, /, HTTP/1.1, 303, 0.001185
169.233.223.112, 2016-10-28 20:06:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.254520
169.233.223.112, 2016-10-28 20:06:31, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000678
169.233.223.112, 2016-10-28 20:06:31, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000717
169.233.223.112, 2016-10-28 20:06:31, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000832
169.233.223.112, 2016-10-28 20:06:31, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000515
169.233.223.112, 2016-10-28 20:06:31, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000701
169.233.223.112, 2016-10-28 20:06:31, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000853
169.233.223.112, 2016-10-28 20:06:31, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000728
169.233.223.112, 2016-10-28 20:06:31, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000668
169.233.223.112, 2016-10-28 20:06:31, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000558
169.233.223.112, 2016-10-28 20:06:31, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000470
169.233.223.112, 2016-10-28 20:06:31, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000662
169.233.223.112, 2016-10-28 20:06:31, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000594
169.233.223.112, 2016-10-28 20:06:31, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000689
169.233.223.112, 2016-10-28 20:06:31, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000491
169.233.223.112, 2016-10-28 20:06:31, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000684
169.233.223.112, 2016-10-28 20:06:44, GET, /welcome/default/api/person/, HTTP/1.1, 400, 0.018547
169.233.223.112, 2016-10-28 20:06:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000342
169.233.223.112, 2016-10-28 20:06:48, GET, /welcome/default/api/person.json, HTTP/1.1, 400, 0.018015
169.233.223.112, 2016-10-28 20:06:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000429
169.233.223.112, 2016-10-28 20:07:05, GET, /hello/default/api/person/1.json, HTTP/1.1, 404, 0.000887
169.233.223.112, 2016-10-28 20:07:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000545
169.233.223.112, 2016-10-28 20:07:13, GET, /welcome/default/api/person/1.json, HTTP/1.1, 200, 0.024531
169.233.223.112, 2016-10-28 20:07:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000339
169.233.223.112, 2016-10-28 20:29:34, GET, /welcome/default/api/person/1.json, HTTP/1.1, 400, 0.092659
169.233.223.112, 2016-10-28 20:29:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000357
169.233.223.112, 2016-10-28 20:29:40, GET, /welcome/default/api/accounts/1.json, HTTP/1.1, 500, 0.048773
169.233.223.112, 2016-10-28 20:29:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000362
169.233.223.112, 2016-10-28 20:30:11, GET, /welcome/default/api/accounts/1.json, HTTP/1.1, 500, 0.029233
169.233.223.112, 2016-10-28 20:30:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000333
169.233.223.112, 2016-10-28 20:30:23, GET, /welcome/default/api/accounts/1.json, HTTP/1.1, 200, 0.017914
169.233.223.112, 2016-10-28 20:30:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000329
169.233.223.112, 2016-10-28 20:35:37, GET, /welcome/default/api/acc/1.json, HTTP/1.1, 200, 0.094651
169.233.223.112, 2016-10-28 20:35:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000421
159.203.233.58, 2016-10-28 20:35:55, POST, /welcome/default/api/acc.json, HTTP/1.1, 200, 0.021739
169.233.223.112, 2016-10-28 20:36:09, GET, /welcome/default/api/acc/1.json, HTTP/1.1, 200, 0.026035
169.233.223.112, 2016-10-28 20:36:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000389
